Module,trait,rho,p,bonferroni
2,sweet,-0.826434513672832,5.83187339547777e-30,2.64592095952827e-26
4,sweet,0.863666017778651,2.07848405181005e-35,9.4300821430622e-32
8,sweet,-0.816471153419162,1.0146956334055e-28,4.60367408876077e-25
9,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
10,sweet,0.824336964145743,1.08006343795426e-29,4.90024781799849e-26
14,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
15,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
20,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
21,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
23,sweet,-0.857373369197386,2.2134014323109e-34,1.00422022983946e-30
24,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
25,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
27,sweet,-0.801263919347771,5.77215785403717e-27,2.61882801837666e-23
28,sweet,0.855800207052069,3.92838631035376e-34,1.7823088690075e-30
29,sweet,-0.863666017778651,2.07848405181035e-35,9.43008214306354e-32
31,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
33,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
36,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
39,sweet,0.818044315564478,6.53921899724105e-29,2.96684365904826e-25
42,sweet,0.856324594433841,3.24707507961522e-34,1.47319796362142e-30
43,sweet,0.865239179923967,1.12951413727125e-35,5.12460564079967e-32
44,sweet,-0.864714792542195,1.38530753279041e-35,6.2851402762701e-32
45,sweet,-0.803361468874859,3.37623220125098e-27,1.53179654970757e-23
52,sweet,-0.863666017778651,2.07848405181035e-35,9.43008214306354e-32
55,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
63,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
69,sweet,-0.834824711781185,4.5520589774688e-31,2.06526915807759e-27
71,sweet,0.851605107997893,1.75564233695359e-33,7.96534928275843e-30
77,sweet,-0.85842214396093,1.50415994161929e-34,6.82437365512673e-31
78,sweet,-0.864714792542195,1.38530753279041e-35,6.2851402762701e-32
86,sweet,-0.85108072061612,2.11010247926351e-33,9.57353494841855e-30
87,sweet,-0.816995540800934,8.76872045244822e-29,3.97836846927576e-25
93,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
111,sweet,-0.863666017778651,2.07848405181035e-35,9.43008214306354e-32
114,sweet,-0.840592972980678,7.2457744304865e-32,3.28740785911173e-28
120,sweet,-0.86104408086979,5.6482214252039e-35,2.56259806061501e-31
122,sweet,-0.854751432288525,5.73695362550092e-34,2.60285585988977e-30
133,sweet,-0.809654117456124,6.49433747757108e-28,2.946480913574e-24
169,sweet,-0.819617477709794,4.19628341324904e-29,1.90385378459109e-25
175,sweet,-0.848983171089032,4.37254254788723e-33,1.98382255397644e-29
262,sweet,-0.865239179923967,1.12951413727115e-35,5.12460564079923e-32
274,sweet,0.842166135125995,4.33406129370563e-32,1.96636360895425e-28
301,sweet,-0.841641747744223,5.14709214672548e-32,2.33523570696935e-28
354,sweet,-0.851606787962439,1.75460628991542e-33,7.96064873734628e-30
368,sweet,-0.815454552199344,1.34483845147854e-28,6.10153205435814e-25
386,sweet,0.801789888420301,5.04891448251988e-27,2.29069250071927e-23
529,sweet,-0.860275367150153,7.54263270059252e-35,3.42209245625883e-31
541,sweet,-0.823812576763971,1.25836011971824e-29,5.70917986316164e-26
681,sweet,-0.811753268328729,3.69640533764732e-28,1.67705910169059e-24
687,sweet,-0.816995540800934,8.76872045244822e-29,3.97836846927576e-25
691,sweet,-0.853272537289334,9.73682273852688e-34,4.41759647646965e-30
940,sweet,-0.801188721567574,5.88350705993504e-27,2.66934715309253e-23
1043,sweet,-0.851605107997893,1.75564233695359e-33,7.96534928275843e-30
1180,sweet,-0.874704880105402,2.42893443999529e-37,1.10200755542586e-33
1183,sweet,-0.809932288821549,6.02942003033693e-28,2.73554786776386e-24
1189,sweet,-0.849509234297507,3.64608076113582e-33,1.65422684132732e-29
1244,sweet,-0.813849216510301,2.09085170167996e-28,9.48619417052198e-25
1336,sweet,-0.862617243015107,3.10804935540594e-35,1.41012199254768e-31
1364,sweet,0.894318795290738,2.84432309485875e-41,1.29046938813742e-37
1376,sweet,-0.83849542345359,1.42539709276831e-31,6.46702660988983e-28
1492,sweet,-0.821931204063429,2.16809171470811e-29,9.83663210963068e-26
1515,sweet,-0.825396071916323,7.92057148045036e-30,3.59356328068033e-26
1559,sweet,-0.869799908671628,1.84406646896134e-36,8.36652956967762e-33
1581,sweet,-0.852122260527338,1.46341867036386e-33,6.63953050744083e-30
1759,sweet,0.844672932568156,1.88866904969515e-32,8.56889147846688e-29
1780,sweet,0.820917339177109,2.89904306743359e-29,1.31529583969462e-25
1850,sweet,0.885894742494929,1.7003324064078e-39,7.71440812787221e-36
1887,sweet,0.881263678013796,1.40810118479846e-38,6.38855507543063e-35
1926,sweet,0.806333425242515,1.56166377521363e-27,7.08526854814426e-24
1938,sweet,0.869191869206394,2.35731530419794e-36,1.06951395351461e-32
1984,sweet,0.841150547734886,6.04306922851884e-32,2.741740508979e-28
2155,sweet,0.824141645274349,1.14337977766098e-29,5.18751405124785e-26
2213,sweet,0.844356966832101,2.0988182135747e-32,9.52233823498843e-29
2245,sweet,0.833182340826392,7.58308693953701e-31,3.44044654446794e-27
2272,sweet,0.867879776493548,3.98777878168209e-36,1.80925523324917e-32
2291,sweet,0.865298926053544,1.10348687421199e-35,5.00651994829981e-32
2299,sweet,0.836474342805897,2.71099982256944e-31,1.22998061949975e-27
2303,sweet,0.832534438575985,9.26016455785e-31,4.20133665989655e-27
2372,sweet,0.820194065921679,3.56271976979032e-29,1.61640595955387e-25
2400,sweet,0.808402741148416,9.05739795433377e-28,4.10934145188123e-24
2409,sweet,0.801715819410711,5.14512688389729e-27,2.3343440672242e-23
2517,sweet,0.822517259119757,1.83137299272656e-29,8.30893926800042e-26
2679,sweet,0.82853206319992,3.12286486332355e-30,1.4168437884899e-26
2796,sweet,0.817011658131417,8.72939990860879e-29,3.96052873853581e-25
2807,sweet,0.852647705246211,1.21541381784763e-33,5.51433249157472e-30
2810,sweet,0.894318795290738,2.84432309485875e-41,1.29046938813742e-37
2888,sweet,0.841949369535305,4.65364235171915e-32,2.11135753497498e-28
2914,sweet,0.83404147069114,5.81043007080721e-31,2.63619212312523e-27
2929,sweet,0.83607142793438,3.07846415284181e-31,1.39669918614433e-27
3041,sweet,0.819093090328022,4.86735270872466e-29,2.20831792394838e-25
3234,sweet,-0.869959659422614,1.72850123433344e-36,7.84221010017081e-33
3244,sweet,0.824353226304614,1.07494920179434e-29,4.8770445285409e-26
3254,sweet,-0.824770266647624,9.51597016589057e-30,4.31739566426455e-26
3373,sweet,0.851257314690143,1.98354220294987e-33,8.99933097478355e-30
3525,sweet,0.809129730074352,7.46799138596031e-28,3.38822769181019e-24
3534,sweet,0.858423837373468,1.50321826542032e-34,6.82010127021201e-31
3584,sweet,0.847934396325488,6.26837356949336e-33,2.84396108847914e-29
3593,sweet,0.824033767856639,1.17989227913013e-29,5.3531712704134e-26
3602,sweet,0.85332251755479,9.56520760448047e-34,4.33973469015279e-30
3633,sweet,0.862209263449303,3.63139744892193e-35,1.64756502257588e-31
3671,sweet,0.822239504763196,1.98404021491306e-29,9.00159045506054e-26
3695,sweet,0.88944069277097,3.16443198175795e-40,1.43570279012358e-36
3908,sweet,0.872367333951783,6.44913164679838e-37,2.92597102815243e-33
3927,sweet,0.904635964391299,1.15276273882452e-43,5.23008454604686e-40
3945,sweet,0.806698780528906,1.41913632986687e-27,6.43862152860598e-24
4022,sweet,0.860519693488018,6.88145498270873e-35,3.12211612565495e-31
4133,sweet,0.850031945852576,3.04174267589694e-33,1.38003865205444e-29
4141,sweet,0.822763802000427,1.70553213075715e-29,7.73799927724519e-26
4153,sweet,0.805674308348722,1.8550121997437e-27,8.41619035023715e-24
4185,sweet,0.80774780365053,1.07694140954303e-27,4.88608317509671e-24
4218,sweet,0.841699864433902,5.05010208812329e-32,2.29123131738154e-28
4248,sweet,0.841699864433902,5.05010208812329e-32,2.29123131738154e-28
